iter	RMSE
0	704.7147186
1	698.7762094
2	692.9063721
3	687.1045697
4	681.3701709
5	675.7025503
6	670.1010882
7	664.5651705
8	659.0941885
9	653.6875391
10	648.3446245
11	643.0648523
12	637.8476352
13	632.6923912
14	627.5985432
15	622.5655193
16	617.5927525
17	612.6796804
18	607.8257458
19	603.030396
20	598.2930828
21	593.6132629
22	588.9903973
23	584.4239516
24	579.9133956
25	575.4582035
26	571.0578538
27	566.7118291
28	562.4196162
29	558.1807059
30	553.9945931
31	549.8607763
32	545.7787584
33	541.7480456
34	537.7681483
35	533.8385802
36	529.958859
37	526.1285058
38	522.3470453
39	518.6140055
40	514.9289181
41	511.2913181
42	507.7007437
43	504.1567364
44	500.6588412
45	497.2066059
46	493.7995817
47	490.4373227
48	487.1193864
49	483.8453328
50	480.6363786
51	477.4414759
52	474.2892047
53	471.1791368
54	468.110847
55	465.0839128
56	462.0906963
57	459.0525739
58	456.0552471
59	453.1540894
60	450.2986926
61	447.4691906
62	444.6784691
63	441.8272505
64	439.0147802
65	436.3225164
66	433.6675637
67	431.0236088
68	428.3318846
69	425.7472498
70	423.1986808
71	420.6857959
72	418.2082162
73	415.6411515
74	413.2242683
75	410.8304841
76	408.3469511
77	405.8980758
78	403.4834916
79	401.1842791
80	398.9179166
81	396.5764205
82	394.3617599
83	392.1789918
84	390.0277642
85	387.7755508
86	385.6762924
87	383.5987855
88	381.4203727
89	379.2731523
90	377.2751067
91	375.1816512
92	373.2095243
93	371.1630015
94	369.2363863
95	367.3382679
96	365.501568
97	363.6824728
98	361.8906916
99	360.1259031
100	358.3265446
101	356.5541469
102	354.8474861
103	353.1171587
104	351.4516693
105	349.7744759
106	348.1494209
107	346.4953354
108	344.8664358
109	343.269309
110	341.6848003
111	340.1418777
112	338.6348985
113	337.1140258
114	335.6271381
115	334.1433109
116	332.6657909
117	331.2231989
118	329.7988431
119	328.3968271
120	326.9855515
121	325.5963973
122	324.2365884
123	322.8982624
124	321.5673568
125	320.2457297
126	318.9476394
127	317.6706132
128	316.4139793
129	315.1594353
130	313.9249828
131	312.7103585
132	311.4864201
133	310.2821297
134	309.1094035
135	307.9002455
136	306.7570385
137	305.6160509
138	304.5058924
139	303.3977073
140	302.3197536
141	300.9009918
142	299.5039315
143	298.4542318
144	297.3882657
145	296.0307085
146	294.7439714
147	293.7209309
148	292.7147597
149	291.7076744
150	290.6654903
151	289.6843252
152	288.7227118
153	287.7771024
154	286.8472718
155	285.8574695
156	284.9457719
157	283.9837821
158	282.7065252
159	281.4880328
160	280.515841
161	279.6314991
162	278.7773518
163	277.9330729
164	277.110771
165	276.2936855
166	275.1570667
167	274.3253194
168	273.1408373
169	272.2583842
170	271.4759078
171	270.7132
172	269.8666874
173	269.0344276
174	268.2162158
175	267.4901313
176	266.7766668
177	266.0755278
178	265.33214
179	264.2214704
180	263.4473291
181	262.7752332
182	262.1040922
183	261.4446254
184	260.7179903
185	260.0038376
186	259.301981
187	258.6122361
188	257.5946578
189	256.8849062
190	256.2151034
191	255.5569197
192	254.9139791
193	254.2822493
194	253.7072717
195	253.1424559
196	252.5310151
197	251.5555961
198	250.9492901
199	250.4267513
200	249.8369557
201	248.8858157
202	247.9128492
203	247.4073728
204	246.8321225
205	246.3141258
206	245.7565202
207	245.2025869
208	244.724699
209	243.785738
210	243.3079231
211	242.7739763
212	242.2495078
213	241.7301957
214	240.8210926
215	240.3621341
216	239.8461695
217	239.392536
218	238.9499739
219	238.5093912
220	238.0785282
221	237.5872319
222	237.1047199
223	236.5644738
224	236.1495483
225	235.6474022
226	235.1847491
227	234.7628636
228	234.3129338
229	233.8681176
230	233.4317074
231	233.0246828
232	232.6250594
233	232.1983397
234	231.8166617
235	231.4420141
236	230.9859805
237	230.6178367
238	230.261252
239	229.9038934
240	229.0345883
241	228.5916476
242	228.1933474
243	227.7964643
244	227.4068032
245	227.0151192
246	226.6682642
247	226.2941129
248	225.4813597
249	225.1246296
250	224.7747042
251	224.3503554
252	223.9842483
253	223.6609531
254	223.3049213
255	222.5168574
256	221.7458792
257	221.4194476
258	220.9465441
259	220.1940876
260	219.8342059
261	219.4809081
262	218.7334243
263	218.2728863
264	217.8294637
265	217.4936376
266	217.0551634
267	216.624433
268	216.3087469
269	215.919091
270	215.6023856
271	215.2781886
272	214.9861947
273	214.2310516
274	213.9079176
275	213.6005671
276	213.250124
277	212.8354669
278	212.1498945
279	211.8676948
280	211.5668015
281	210.8952117
282	210.6158235
283	210.340911
284	209.9527034
285	209.5937969
286	209.3287281
287	208.9149856
288	208.2121904
289	207.8814015
290	207.5516089
291	207.2604808
292	206.8870432
293	206.6016791
294	206.333037
295	206.0515124
296	205.3934548
297	204.7544336
298	204.4471625
299	204.1667096
300	203.9136824
301	203.2560412
302	202.6376754
303	202.3729323
304	202.1192961
305	201.4819415
306	200.8832282
307	200.5708294
308	200.3129841
309	200.0577118
310	199.472891
311	198.8671892
312	198.2850001
313	198.0364417
314	197.4778647
315	196.8972848
316	196.6547517
317	196.4074745
318	196.1640175
319	195.6252731
320	195.0698053
321	194.5474441
322	194.0027958
323	193.766234
324	193.2310476
325	192.7316336
326	192.2408966
327	191.732574
328	191.2289942
329	191.010614
330	190.7803924
331	190.5691823
332	190.0743247
333	189.5880543
334	189.3804659
335	188.9024785
336	188.4359314
337	187.9423856
338	187.505182
339	187.301762
340	186.8749166
341	186.6587377
342	186.2376872
343	185.8032068
344	185.3736434
345	185.1483025
346	184.9525537
347	184.7409304
348	184.3211331
349	183.9087539
350	183.7178178
351	183.5080047
352	183.1175889
353	182.7350762
354	182.3566502
355	181.9672812
356	181.7824517
357	181.6060153
358	181.2230995
359	180.8439199
360	180.4715074
361	180.2769844
362	179.9116644
363	179.703428
364	179.3444157
365	179.1398522
366	178.7870485
367	178.5999579
368	178.4370865
369	178.216296
370	177.8717928
371	177.6737659
372	177.3352415
373	177.1048578
374	176.9365751
375	176.6144393
376	176.4220765
377	176.2657487
378	176.0939638
379	175.9083593
380	175.5832205
381	175.2624616
382	175.0959937
383	174.7841363
384	174.4807822
385	174.1737673
386	174.0064674
387	173.7945393
388	173.6086342
389	173.3093561
390	173.1333442
391	172.8478488
392	172.567575
393	172.3958503
394	172.2451718
395	171.9619006
396	171.7931363
397	171.596607
398	171.407468
399	171.1301953
400	170.9660301
401	170.6930616
402	170.5253325
403	170.2561858
404	170.1015189
405	169.9377924
406	169.6744851
407	169.517176
408	169.3581422
409	169.1787682
410	169.0266589
411	168.775112
412	168.6211499
413	168.4748322
414	168.3175272
415	168.1816587
416	167.9344735
417	167.6811482
418	167.5035091
419	167.3212273
420	167.1764816
