iter	Passed	Remaining
0	15	15267
1	29	14761
2	42	14108
3	55	13877
4	69	13767
5	83	13899
6	97	13892
7	113	14126
8	129	14217
9	209	20739
10	237	21335
11	267	22028
12	280	21283
13	292	20632
14	306	20106
15	320	19711
16	333	19285
17	346	18881
18	358	18534
19	371	18192
20	383	17882
21	396	17617
22	408	17364
23	423	17202
24	435	17003
25	448	16797
26	461	16625
27	491	17051
28	530	17769
29	544	17618
30	557	17431
31	570	17254
32	584	17120
33	597	16968
34	609	16802
35	623	16683
36	636	16560
37	648	16428
38	661	16311
39	675	16214
40	689	16125
41	704	16063
42	719	16024
43	738	16035
44	754	16008
45	769	15961
46	783	15879
47	796	15801
48	809	15710
49	823	15638
50	835	15544
51	847	15453
52	860	15374
53	873	15296
54	886	15226
55	899	15161
56	915	15137
57	928	15080
58	941	15009
59	953	14945
60	967	14899
61	980	14835
62	993	14772
63	1005	14699
64	1017	14632
65	1031	14593
66	1044	14540
67	1056	14485
68	1069	14427
69	1082	14377
70	1095	14335
71	1110	14306
72	1124	14278
73	1136	14226
74	1149	14179
75	1162	14136
76	1174	14079
77	1187	14033
78	1199	13985
79	1212	13948
80	1226	13910
81	1238	13864
82	1251	13822
83	1263	13777
84	1276	13737
85	1289	13701
86	1302	13669
87	1315	13632
88	1332	13637
89	1344	13598
90	1358	13567
91	1371	13531
92	1383	13494
93	1396	13458
94	1409	13423
95	1421	13389
96	1434	13358
97	1447	13319
98	1459	13284
99	1472	13248
100	1485	13220
101	1498	13188
102	1511	13160
103	1525	13142
104	1539	13125
105	1553	13099
106	1565	13065
107	1578	13036
108	1590	13001
109	1602	12968
110	1615	12939
111	1628	12911
112	1641	12886
113	1653	12854
114	1667	12833
115	1679	12802
116	1692	12769
117	1704	12740
118	1718	12720
119	1733	12710
120	1747	12694
121	1762	12682
122	1776	12664
123	1790	12645
124	1802	12618
125	1815	12594
126	1827	12564
127	1841	12546
128	1854	12521
129	1867	12498
130	1879	12469
131	1892	12445
132	1905	12421
133	1918	12395
134	1930	12371
135	1943	12349
136	1957	12329
137	1972	12320
138	1984	12294
139	1997	12268
140	2010	12247
141	2023	12225
142	2036	12204
143	2049	12185
144	2062	12161
145	2075	12141
146	2088	12119
147	2100	12091
148	2113	12068
149	2125	12045
150	2139	12028
151	2151	12005
152	2167	11999
153	2180	11981
154	2194	11963
155	2206	11939
156	2221	11925
157	2234	11906
158	2247	11890
159	2260	11865
160	2273	11845
161	2284	11816
162	2297	11795
163	2309	11772
164	2322	11752
165	2335	11732
166	2348	11715
167	2362	11700
168	2377	11692
169	2391	11674
170	2403	11650
171	2415	11629
172	2431	11623
173	2444	11604
174	2457	11583
175	2469	11561
176	2481	11538
177	2495	11526
178	2509	11512
179	2524	11501
180	2540	11493
181	2552	11473
182	2568	11466
183	2583	11455
184	2597	11441
185	2609	11419
186	2622	11400
187	2635	11382
188	2648	11365
189	2661	11344
190	2673	11325
191	2686	11306
192	2698	11283
193	2711	11264
194	2724	11246
195	2736	11227
196	2750	11209
197	2762	11188
198	2775	11171
199	2786	11146
200	2837	11279
201	2858	11291
202	2872	11275
203	2883	11251
204	2895	11230
205	2908	11210
206	2922	11195
207	2934	11174
208	2947	11154
209	2960	11138
210	2972	11116
211	2985	11096
212	2999	11083
213	3012	11065
214	3025	11046
215	3037	11025
216	3049	11004
