iter	Passed	Remaining
0	68	68080
1	92	46351
2	110	36646
3	123	30815
4	136	27137
5	149	24849
6	164	23270
7	178	22166
8	190	21027
9	204	20223
10	217	19580
11	231	19043
12	244	18543
13	257	18163
14	271	17825
15	286	17605
16	299	17305
17	312	17072
18	328	16956
19	342	16773
20	355	16592
21	369	16420
22	383	16298
23	397	16164
24	410	16027
25	425	15925
26	439	15826
27	453	15738
28	467	15667
29	482	15588
30	494	15459
31	507	15366
32	522	15304
33	537	15270
34	552	15237
35	565	15144
36	581	15124
37	597	15132
38	614	15141
39	632	15180
40	649	15190
41	663	15135
42	679	15116
43	700	15221
44	721	15310
45	740	15366
46	760	15412
47	782	15521
48	804	15611
49	826	15710
50	847	15767
51	869	15846
52	888	15882
53	910	15945
54	929	15978
55	947	15978
56	967	16008
57	990	16085
58	1010	16123
59	1031	16154
60	1047	16129
61	1065	16119
62	1082	16106
63	1101	16110
64	1118	16087
65	1137	16091
66	1157	16116
67	1178	16157
68	1199	16178
69	1216	16161
70	1230	16096
71	1243	16023
72	1255	15942
73	1270	15896
74	1283	15829
75	1297	15774
76	1312	15731
77	1325	15665
78	1339	15612
79	1353	15561
80	1366	15503
81	1379	15444
82	1391	15373
83	1404	15320
84	1420	15288
85	1437	15279
86	1453	15256
87	1467	15213
88	1483	15181
89	1497	15140
90	1511	15096
91	1526	15069
92	1542	15043
93	1558	15024
94	1573	14990
95	1588	14955
96	1603	14922
97	1618	14896
98	1632	14859
99	1646	14817
100	1660	14780
101	1677	14765
102	1692	14736
103	1707	14713
104	1723	14692
105	1739	14669
106	1755	14647
107	1769	14616
108	1782	14570
109	1796	14534
110	1809	14488
111	1825	14475
112	1841	14452
113	1855	14418
114	1868	14381
115	1882	14344
116	1896	14310
117	1910	14282
118	1923	14241
119	1938	14213
120	1952	14181
121	1965	14142
122	1978	14105
123	1991	14066
124	2005	14038
125	2019	14009
126	2034	13986
127	2049	13961
128	2064	13936
129	2079	13914
130	2093	13887
131	2109	13874
132	2126	13864
133	2142	13843
134	2157	13824
135	2172	13802
136	2187	13780
137	2202	13755
138	2219	13746
139	2235	13729
140	2252	13724
141	2267	13699
142	2280	13664
143	2294	13637
144	2307	13605
145	2321	13579
146	2336	13558
147	2350	13531
148	2364	13507
149	2378	13476
150	2391	13447
151	2405	13418
152	2424	13423
153	2441	13410
154	2455	13387
155	2470	13366
156	2482	13331
157	2495	13300
158	2508	13265
159	2522	13243
160	2538	13227
161	2554	13214
162	2570	13200
163	2590	13207
164	2607	13195
165	2623	13180
166	2638	13160
167	2653	13142
168	2666	13113
169	2682	13095
170	2697	13075
171	2712	13056
172	2728	13041
173	2744	13028
174	2758	13003
175	2772	12980
176	2786	12956
177	2801	12936
178	2814	12908
179	2830	12892
180	2846	12878
181	2859	12852
182	2873	12826
183	2886	12802
184	2902	12787
185	2917	12766
186	2931	12745
187	2945	12722
188	2959	12697
189	2972	12671
190	2985	12646
191	2998	12620
192	3011	12592
193	3024	12564
194	3036	12533
195	3048	12506
196	3062	12483
197	3075	12457
198	3088	12431
199	3102	12410
200	3116	12386
201	3128	12358
202	3142	12338
203	3156	12317
204	3170	12294
205	3182	12268
206	3194	12236
207	3208	12216
208	3220	12188
209	3232	12161
210	3248	12146
211	3262	12124
212	3275	12103
213	3290	12084
214	3303	12060
215	3318	12044
216	3330	12018
217	3345	12002
218	3360	11984
219	3372	11957
220	3385	11934
221	3400	11915
222	3412	11891
223	3426	11869
224	3439	11847
225	3486	11941
226	3509	11951
227	3524	11934
228	3536	11906
229	3549	11883
230	3562	11858
231	3573	11829
232	3587	11807
233	3600	11787
234	3613	11762
235	3628	11747
236	3643	11729
237	3658	11714
238	3673	11697
239	3688	11680
240	3703	11664
241	3717	11643
242	3729	11616
243	3742	11594
244	3755	11574
245	3770	11556
246	3784	11537
247	3797	11516
248	3812	11497
249	3826	11480
250	3840	11461
251	3854	11439
252	3868	11422
253	3882	11403
254	3898	11389
255	3910	11364
256	3925	11347
257	3938	11327
258	3951	11305
259	3964	11284
260	3977	11262
261	3991	11244
