iter	Passed	Remaining
0	7	7170
1	9	4555
2	20	6858
3	22	5525
4	23	4705
5	24	4140
6	36	5185
7	38	4799
8	45	4996
9	47	4687
10	49	4487
11	52	4347
12	60	4574
13	62	4433
14	74	4907
15	75	4664
16	78	4541
17	81	4438
18	83	4311
19	86	4230
20	88	4125
21	91	4064
22	92	3935
23	94	3836
24	101	3949
25	102	3842
26	104	3773
27	107	3725
28	111	3728
29	113	3665
30	114	3579
31	115	3501
32	117	3447
33	118	3374
34	122	3384
35	134	3610
36	147	3828
37	148	3764
38	151	3742
39	167	4022
40	193	4516
41	195	4450
42	198	4410
43	202	4404
44	223	4748
45	225	4684
46	233	4737
47	235	4673
48	239	4645
49	241	4591
50	255	4746
51	257	4690
52	262	4689
53	263	4621
54	265	4558
55	277	4680
56	280	4642
57	282	4587
58	284	4540
59	286	4483
60	298	4597
61	302	4582
62	316	4700
63	329	4812
64	340	4903
65	343	4865
66	349	4865
67	365	5004
68	377	5098
69	389	5175
70	391	5116
71	392	5064
72	405	5153
73	408	5112
74	410	5061
75	424	5159
76	428	5134
77	430	5090
78	444	5186
79	450	5179
80	451	5127
81	465	5210
82	467	5159
83	469	5115
84	475	5123
85	477	5074
86	478	5026
87	480	4984
88	492	5041
89	493	4991
90	494	4944
91	501	4950
92	512	5002
93	514	4956
94	515	4911
95	516	4867
96	528	4921
97	541	4980
98	542	4940
99	555	4995
100	567	5054
101	572	5039
102	574	4999
103	575	4958
104	579	4941
105	584	4926
106	596	4980
107	598	4943
108	599	4903
109	601	4867
110	609	4881
111	623	4939
112	637	5004
113	651	5059
114	654	5036
115	656	5004
116	669	5053
117	676	5058
118	679	5027
119	691	5070
120	698	5073
121	700	5040
122	702	5005
123	714	5048
124	715	5011
125	728	5054
126	742	5106
127	744	5071
128	746	5037
129	747	5002
130	761	5048
131	768	5053
132	772	5037
133	775	5009
134	776	4977
135	778	4948
136	786	4951
137	790	4936
138	802	4972
139	804	4940
140	806	4911
141	813	4912
142	824	4943
143	826	4910
144	838	4942
145	839	4910
146	841	4885
147	843	4856
148	845	4830
149	853	4833
150	856	4813
151	860	4799
152	863	4778
153	864	4748
154	866	4723
155	878	4752
156	879	4723
157	886	4725
158	898	4754
159	900	4729
160	907	4729
161	919	4754
162	930	4780
163	942	4805
164	954	4830
165	966	4857
166	968	4828
167	972	4814
168	974	4793
169	987	4819
170	989	4795
171	991	4772
172	1003	4795
173	1005	4772
174	1006	4744
175	1018	4768
176	1021	4748
177	1025	4736
178	1037	4758
179	1050	4786
180	1052	4761
181	1053	4734
182	1066	4759
183	1067	4732
184	1074	4732
185	1075	4708
186	1088	4730
187	1090	4708
188	1102	4728
189	1103	4704
190	1105	4682
191	1117	4701
192	1121	4688
193	1133	4709
194	1144	4726
195	1146	4703
196	1148	4680
197	1155	4680
198	1157	4657
199	1158	4633
200	1162	4621
201	1164	4598
202	1166	4581
203	1179	4602
204	1181	4580
205	1182	4558
206	1184	4536
207	1196	4557
208	1209	4575
209	1221	4594
210	1223	4573
211	1235	4593
212	1238	4577
213	1251	4598
214	1256	4587
215	1268	4605
216	1271	4588
217	1273	4568
218	1276	4551
219	1279	4535
220	1286	4534
221	1298	4550
222	1300	4530
223	1302	4511
224	1314	4526
225	1315	4505
226	1319	4494
227	1332	4513
228	1334	4492
229	1346	4508
230	1348	4488
231	1350	4469
232	1358	4470
233	1369	4483
234	1371	4463
235	1383	4477
236	1395	4491
237	1396	4471
238	1399	4455
239	1403	4444
240	1405	4425
241	1417	4439
242	1418	4419
243	1425	4418
244	1432	4415
245	1446	4432
246	1458	4446
247	1460	4427
248	1464	4416
249	1476	4429
250	1477	4409
251	1489	4421
252	1491	4402
253	1497	4398
254	1504	4395
255	1505	4375
256	1509	4365
257	1511	4346
258	1523	4358
259	1524	4340
260	1526	4321
261	1528	4305
262	1530	4288
263	1533	4274
264	1534	4257
265	1536	4239
266	1549	4252
267	1561	4264
268	1562	4246
269	1564	4229
270	1565	4211
271	1567	4194
272	1574	4191
273	1586	4202
274	1589	4189
275	1596	4188
276	1609	4200
277	1610	4183
278	1623	4194
279	1636	4206
280	1638	4191
281	1639	4174
282	1655	4194
283	1660	4185
284	1674	4201
285	1677	4188
286	1692	4204
287	1698	4200
288	1700	4183
289	1716	4201
290	1718	4187
291	1733	4202
292	1736	4190
293	1751	4207
294	1756	4198
295	1771	4213
296	1774	4199
297	1776	4183
298	1791	4201
299	1793	4185
300	1798	4177
301	1800	4162
302	1803	4148
303	1805	4133
304	1820	4147
305	1825	4140
306	1840	4154
307	1855	4168
308	1870	4183
309	1872	4168
310	1878	4162
311	1892	4174
312	1894	4157
313	1895	4141
314	1898	4127
315	1901	4114
316	1916	4128
317	1919	4115
318	1933	4127
319	1937	4117
320	1952	4131
321	1955	4117
322	1969	4128
323	1984	4141
324	1999	4152
325	2002	4139
326	2016	4149
327	2018	4135
328	2035	4151
329	2039	4140
330	2041	4126
331	2043	4111
332	2046	4099
333	2048	4084
334	2051	4073
335	2075	4100
336	2076	4086
337	2079	4073
338	2081	4058
339	2086	4049
340	2099	4056
341	2105	4051
342	2118	4056
343	2129	4061
344	2141	4066
345	2143	4051
346	2155	4057
347	2157	4042
348	2159	4027
349	2171	4032
350	2178	4028
351	2179	4013
352	2183	4002
353	2185	3988
354	2198	3994
355	2200	3980
356	2201	3965
357	2213	3969
358	2226	3974
359	2238	3978
360	2249	3981
361	2250	3966
362	2255	3957
363	2256	3942
364	2258	3928
365	2270	3932
366	2272	3918
367	2284	3923
368	2286	3910
369	2288	3896
370	2300	3901
371	2313	3905
372	2315	3891
373	2328	3896
374	2329	3883
375	2332	3870
376	2344	3874
377	2357	3878
378	2369	3881
379	2370	3868
380	2372	3853
381	2374	3842
382	2376	3828
383	2377	3814
384	2390	3818
385	2396	3812
386	2401	3803
387	2402	3789
388	2414	3791
389	2428	3798
390	2430	3785
391	2434	3776
392	2437	3765
393	2439	3752
394	2456	3762
395	2458	3750
396	2472	3756
397	2487	3762
398	2502	3770
399	2515	3773
400	2529	3778
401	2531	3765
402	2538	3761
403	2541	3749
404	2544	3737
405	2556	3740
406	2568	3742
407	2570	3730
408	2582	3731
409	2593	3732
410	2595	3719
411	2597	3706
412	2608	3708
413	2610	3695
414	2623	3698
415	2624	3685
416	2631	3679
417	2632	3665
418	2644	3667
419	2656	3668
420	2663	3663
421	2675	3664
422	2677	3651
423	2679	3640
424	2691	3641
425	2703	3642
426	2715	3644
427	2718	3633
428	2731	3635
429	2732	3622
430	2739	3616
431	2741	3604
432	2754	3606
433	2765	3607
434	2768	3596
435	2769	3582
436	2781	3583
437	2788	3578
438	2800	3578
439	2812	3579
440	2813	3566
441	2825	3567
442	2826	3554
443	2828	3541
444	2829	3529
445	2841	3529
446	2853	3530
447	2856	3519
448	2858	3508
449	2870	3508
450	2872	3496
451	2883	3496
452	2885	3484
453	2887	3472
454	2888	3460
455	2900	3460
456	2913	3461
457	2915	3449
458	2919	3440
459	2931	3441
460	2942	3440
461	2944	3429
462	2949	3420
463	2961	3420
464	2962	3408
465	2964	3396
466	2975	3396
467	2977	3384
468	2989	3384
469	2992	3374
470	2993	3362
471	2995	3350
472	3002	3345
473	3003	3333
474	3016	3333
475	3028	3333
476	3030	3322
477	3034	3314
478	3036	3302
479	3040	3293
480	3042	3282
481	3044	3271
482	3056	3271
483	3068	3271
484	3070	3260
485	3081	3259
486	3085	3250
487	3087	3238
488	3091	3230
489	3098	3225
490	3100	3213
491	3113	3215
492	3116	3205
493	3129	3205
494	3131	3194
495	3137	3188
496	3149	3187
497	3150	3176
498	3152	3165
499	3156	3156
500	3158	3146
501	3170	3145
502	3182	3144
503	3193	3143
504	3196	3133
505	3199	3123
506	3211	3122
507	3218	3116
508	3222	3108
509	3229	3102
510	3241	3101
511	3244	3092
512	3250	3086
513	3263	3085
514	3274	3084
515	3287	3083
516	3298	3081
517	3300	3070
518	3312	3069
519	3314	3059
520	3315	3048
521	3318	3038
522	3331	3038
523	3335	3030
524	3338	3020
525	3342	3012
526	3354	3011
527	3366	3009
528	3378	3008
529	3390	3006
530	3394	2997
531	3406	2996
532	3417	2994
533	3429	2992
534	3441	2991
535	3453	2989
536	3454	2978
537	3466	2976
538	3468	2966
539	3470	2956
540	3482	2954
541	3489	2948
542	3501	2947
543	3513	2945
544	3515	2935
545	3518	2925
546	3530	2923
547	3532	2913
548	3545	2912
549	3556	2910
550	3568	2908
551	3580	2906
552	3582	2896
553	3594	2894
554	3607	2892
555	3610	2882
556	3612	2872
557	3613	2862
558	3615	2852
559	3617	2842
560	3624	2836
561	3636	2834
562	3649	2832
563	3661	2830
564	3663	2820
565	3664	2810
566	3666	2800
567	3668	2789
568	3669	2779
569	3682	2777
570	3683	2767
571	3686	2758
572	3690	2750
573	3702	2747
574	3703	2737
575	3705	2727
576	3717	2725
577	3729	2722
578	3742	2721
579	3743	2710
580	3746	2701
581	3758	2699
582	3771	2697
583	3783	2695
584	3785	2685
585	3786	2675
586	3788	2665
587	3800	2663
588	3812	2660
589	3819	2653
590	3830	2650
591	3832	2641
592	3844	2638
593	3848	2630
594	3860	2627
595	3872	2624
596	3884	2622
597	3897	2619
598	3904	2613
599	3916	2611
600	3928	2608
601	3940	2605
602	3953	2602
603	3965	2600
604	3978	2597
605	3982	2589
606	3994	2586
607	3996	2576
608	3998	2567
609	4010	2563
610	4012	2554
611	4013	2544
612	4025	2541
613	4027	2531
614	4039	2528
615	4051	2525
616	4064	2522
617	4076	2519
618	4080	2511
619	4092	2508
620	4103	2504
621	4105	2494
622	4116	2491
623	4118	2481
624	4120	2472
625	4132	2468
626	4135	2460
627	4149	2457
628	4163	2455
629	4165	2446
630	4166	2436
631	4179	2433
632	4180	2423
633	4187	2417
634	4199	2414
635	4211	2410
636	4223	2406
637	4236	2403
638	4247	2399
639	4249	2390
640	4261	2386
641	4265	2378
642	4278	2375
643	4291	2372
644	4293	2363
645	4306	2360
646	4308	2350
647	4321	2347
648	4326	2339
649	4339	2336
650	4351	2332
651	4364	2329
652	4366	2320
653	4371	2312
654	4373	2303
655	4385	2299
656	4390	2291
657	4397	2285
658	4408	2281
659	4410	2272
660	4417	2265
661	4424	2259
662	4437	2255
663	4441	2247
664	4452	2243
665	4464	2239
666	4476	2235
667	4479	2226
668	4484	2218
669	4496	2214
670	4500	2206
671	4511	2202
672	4523	2197
673	4527	2189
674	4539	2185
675	4550	2181
676	4552	2172
677	4554	2163
678	4566	2158
679	4578	2154
680	4591	2150
681	4592	2141
682	4594	2132
683	4595	2123
684	4597	2114
685	4599	2105
686	4602	2096
687	4614	2092
688	4626	2088
689	4630	2080
690	4642	2076
691	4654	2071
692	4656	2062
693	4668	2058
694	4670	2049
695	4682	2045
696	4695	2041
697	4696	2032
698	4708	2027
699	4719	2022
700	4731	2018
701	4743	2013
702	4756	2009
703	4767	2004
704	4775	1998
705	4779	1990
706	4798	1988
707	4827	1990
708	4828	1981
709	4837	1975
710	4839	1967
711	4842	1958
712	4844	1949
713	4857	1945
714	4858	1936
715	4870	1931
716	4882	1927
717	4890	1920
718	4897	1913
719	4909	1909
720	4912	1900
721	4924	1895
722	4927	1887
723	4930	1879
724	4943	1874
725	4955	1870
726	4966	1865
727	4978	1860
728	4990	1855
729	4992	1846
730	4997	1838
731	5009	1834
732	5011	1825
733	5012	1816
734	5017	1808
735	5024	1802
736	5029	1794
737	5031	1786
738	5043	1781
739	5055	1776
740	5068	1771
741	5080	1766
742	5083	1758
743	5085	1749
744	5086	1741
745	5099	1736
746	5106	1729
747	5118	1724
748	5121	1716
749	5133	1711
750	5140	1704
751	5152	1699
752	5157	1691
753	5161	1684
754	5164	1675
755	5176	1670
756	5178	1662
757	5191	1657
758	5204	1652
759	5206	1644
760	5218	1638
761	5222	1631
762	5233	1625
763	5235	1617
764	5236	1608
765	5247	1603
766	5259	1597
767	5271	1592
768	5283	1587
769	5295	1581
770	5299	1574
771	5311	1568
772	5323	1563
773	5324	1554
774	5336	1549
775	5343	1542
776	5344	1534
777	5357	1528
778	5359	1520
779	5363	1512
780	5375	1507
781	5387	1502
782	5390	1493
783	5392	1485
784	5405	1480
785	5418	1475
786	5429	1469
787	5442	1464
788	5454	1458
789	5455	1450
790	5467	1444
791	5470	1436
792	5472	1428
793	5485	1423
794	5498	1417
795	5511	1412
796	5513	1404
797	5528	1399
798	5542	1394
799	5546	1386
800	5563	1382
801	5577	1376
802	5591	1371
803	5605	1366
804	5621	1361
805	5637	1356
806	5640	1349
807	5646	1341
808	5660	1336
809	5662	1328
810	5668	1321
811	5671	1313
812	5685	1307
813	5700	1302
814	5714	1297
815	5716	1289
816	5731	1283
817	5739	1276
818	5753	1271
819	5766	1265
820	5768	1257
821	5781	1252
822	5795	1246
823	5801	1239
824	5814	1233
825	5822	1226
826	5835	1220
827	5848	1214
828	5852	1207
829	5865	1201
830	5877	1195
831	5890	1189
832	5892	1181
833	5904	1175
834	5919	1169
835	5934	1164
836	5948	1158
837	5962	1152
838	5963	1144
839	5965	1136
840	5978	1130
841	5991	1124
842	6005	1118
843	6019	1112
844	6033	1106
845	6035	1098
846	6049	1092
847	6051	1084
848	6064	1078
849	6076	1072
850	6088	1065
851	6100	1059
852	6112	1053
853	6123	1046
854	6125	1038
855	6127	1030
856	6140	1024
857	6141	1016
858	6153	1010
859	6165	1003
860	6169	996
861	6181	989
862	6192	983
863	6199	975
864	6210	969
865	6222	962
866	6235	956
867	6248	950
868	6261	943
869	6273	937
870	6285	930
871	6296	924
872	6308	917
873	6310	909
874	6322	903
875	6334	896
876	6337	888
877	6339	880
878	6351	874
879	6353	866
880	6366	859
881	6378	853
882	6392	846
883	6394	839
884	6397	831
885	6408	824
886	6421	818
887	6433	811
888	6446	804
889	6459	798
890	6467	791
891	6479	784
892	6492	777
893	6503	771
894	6515	764
895	6527	757
896	6539	750
897	6546	743
898	6558	736
899	6569	729
900	6570	722
901	6582	715
902	6595	708
903	6606	701
904	6618	694
905	6630	687
906	6642	681
907	6654	674
908	6666	667
909	6680	660
910	6692	653
911	6704	646
912	6716	639
913	6728	633
914	6740	626
915	6752	619
916	6753	611
917	6765	604
918	6776	597
919	6788	590
920	6790	582
921	6802	575
922	6813	568
923	6825	561
924	6837	554
925	6849	547
926	6861	540
927	6863	532
928	6864	524
929	6866	516
930	6880	509
931	6881	502
932	6894	495
933	6897	487
934	6910	480
935	6923	473
936	6925	465
937	6930	458
938	6942	451
939	6955	443
940	6957	436
941	6970	429
942	6982	422
943	6995	414
944	6996	407
945	7009	400
946	7021	392
947	7033	385
948	7045	378
949	7051	371
950	7064	363
951	7071	356
952	7075	348
953	7088	341
954	7100	334
955	7112	327
956	7124	320
957	7136	312
958	7149	305
959	7163	298
960	7175	291
961	7187	283
962	7200	276
963	7213	269
964	7224	262
965	7237	254
966	7248	247
967	7255	239
968	7268	232
969	7269	224
970	7282	217
971	7295	210
972	7307	202
973	7308	195
974	7313	187
975	7315	179
976	7328	172
977	7340	165
978	7347	157
979	7359	150
980	7365	142
981	7377	135
982	7389	127
983	7401	120
984	7405	112
985	7417	105
986	7420	97
987	7432	90
988	7445	82
989	7446	75
990	7459	67
991	7461	60
992	7462	52
993	7475	45
994	7486	37
995	7491	30
996	7503	22
997	7516	15
998	7520	7
999	7521	0
